Year,Gender,Name,num_babies,Popularity
1980,F,Jennifer,58379,1
1980,F,Amanda,35819,2
1980,F,Jessica,33923,3
1980,M,Michael,68680,1
1980,M,Christopher,49091,2
1980,M,Jason,48170,3
1981,F,Jennifer,57046,1
1981,F,Jessica,42530,2
1981,F,Amanda,34372,3
1981,M,Michael,68765,1
1981,M,Christopher,50228,2
1981,M,Matthew,43324,3
1982,F,Jennifer,57113,1
1982,F,Jessica,45444,2
1982,F,Amanda,34211,3
1982,M,Michael,68228,1
1982,M,Christopher,59227,2
1982,M,Matthew,46055,3
1983,F,Jennifer,54339,1
1983,F,Jessica,45281,2
1983,F,Amanda,33754,3
1983,M,Michael,67993,1
1983,M,Christopher,59339,2
1983,M,Matthew,50207,3
1984,F,Jennifer,50562,1
1984,F,Jessica,45854,2
1984,F,Ashley,38766,3
1984,M,Michael,67732,1
1984,M,Christopher,60023,2
1984,M,Matthew,49770,3
1985,F,Jessica,48345,1
1985,F,Ashley,47007,2
1985,F,Jennifer,42649,3
1985,M,Michael,64899,1
1985,M,Christopher,59598,2
1985,M,Matthew,47068,3
1986,F,Jessica,52668,1
1986,F,Ashley,49675,2
1986,F,Amanda,40525,3
1986,M,Michael,64202,1
1986,M,Christopher,56680,2
1986,M,Matthew,46916,3
1987,F,Jessica,55988,1
1987,F,Ashley,54848,2
1987,F,Amanda,41785,3
1987,M,Michael,63642,1
1987,M,Christopher,54484,2
1987,M,Matthew,46478,3
1988,F,Jessica,51537,1
1988,F,Ashley,49963,2
1988,F,Amanda,39452,3
1988,M,Michael,64123,1
1988,M,Christopher,52991,2
1988,M,Matthew,45865,3
1989,F,Jessica,47882,1
1989,F,Ashley,47586,2
1989,F,Brittany,37786,3
1989,M,Michael,65381,1
1989,M,Christopher,53177,2
1989,M,Matthew,45372,3
1990,F,Jessica,46473,1
1990,F,Ashley,45558,2
1990,F,Brittany,36537,3
1990,M,Michael,65276,1
1990,M,Christopher,52331,2
1990,M,Matthew,44798,3
1991,F,Ashley,43479,1
1991,F,Jessica,43396,2
1991,F,Brittany,29090,3
1991,M,Michael,60783,1
1991,M,Christopher,47098,2
1991,M,Matthew,41633,3
1992,F,Ashley,38453,1
1992,F,Jessica,38354,2
1992,F,Amanda,25034,3
1992,M,Michael,54387,1
1992,M,Christopher,42462,2
1992,M,Matthew,37733,3
1993,F,Jessica,34987,1
1993,F,Ashley,34848,2
1993,F,Sarah,24251,3
1993,M,Michael,49552,1
1993,M,Christopher,38227,2
1993,M,Matthew,35769,3
1994,F,Jessica,32118,1
1994,F,Ashley,30279,2
1994,F,Emily,24149,3
1994,M,Michael,44467,1
1994,M,Christopher,34799,2
1994,M,Matthew,33646,3
1995,F,Jessica,27934,1
1995,F,Ashley,26603,2
1995,F,Emily,24379,3
1995,M,Michael,41403,1
1995,M,Matthew,32875,2
1995,M,Christopher,32672,3
1996,F,Emily,25151,1
1996,F,Jessica,24194,2
1996,F,Ashley,23677,3
1996,M,Michael,38364,1
1996,M,Matthew,32072,2
1996,M,Jacob,31921,3
1997,F,Emily,25731,1
1997,F,Jessica,21042,2
1997,F,Ashley,20895,3
1997,M,Michael,37548,1
1997,M,Jacob,34147,2
1997,M,Matthew,31513,3
1998,F,Emily,26180,1
1998,F,Hannah,21372,2
1998,F,Samantha,20192,3
1998,M,Michael,36614,1
1998,M,Jacob,36010,2
1998,M,Matthew,31141,3
1999,F,Emily,26538,1
1999,F,Hannah,21671,2
1999,F,Alexis,19234,3
1999,M,Jacob,35352,1
1999,M,Michael,33908,2
1999,M,Matthew,30416,3
2000,F,Emily,25953,1
2000,F,Hannah,23078,2
2000,F,Madison,19967,3
2000,M,Jacob,34470,1
2000,M,Michael,32033,2
2000,M,Matthew,28572,3
2001,F,Emily,25054,1
2001,F,Madison,22162,2
2001,F,Hannah,20709,3
2001,M,Jacob,32536,1
2001,M,Michael,29679,2
2001,M,Matthew,26804,3
2002,F,Emily,24460,1
2002,F,Madison,21772,2
2002,F,Hannah,18818,3
2002,M,Jacob,30563,1
2002,M,Michael,28245,2
2002,M,Joshua,25986,3
2003,F,Emily,25688,1
2003,F,Emma,22702,2
2003,F,Madison,20197,3
2003,M,Jacob,29626,1
2003,M,Michael,27114,2
2003,M,Joshua,25089,3
2004,F,Emily,25032,1
2004,F,Emma,21604,2
2004,F,Madison,20619,3
2004,M,Jacob,27876,1
2004,M,Michael,25448,2
2004,M,Joshua,24197,3
2005,F,Emily,23934,1
2005,F,Emma,20336,2
2005,F,Madison,19564,3
2005,M,Jacob,25826,1
2005,M,Michael,23807,2
2005,M,Joshua,23244,3
2006,F,Emily,21398,1
2006,F,Emma,19108,2
2006,F,Madison,18619,3
2006,M,Jacob,24835,1
2006,M,Michael,22630,2
2006,M,Joshua,22313,3
2007,F,Emily,19353,1
2007,F,Isabella,19134,2
2007,F,Emma,18365,3
2007,M,Jacob,24265,1
2007,M,Michael,21979,2
2007,M,Ethan,21023,3
2008,F,Emma,18806,1
2008,F,Isabella,18609,2
2008,F,Emily,17426,3
2008,M,Jacob,22587,1
2008,M,Michael,20609,2
2008,M,Ethan,20206,3
2009,F,Isabella,22289,1
2009,F,Emma,17889,2
2009,F,Olivia,17429,3
2009,M,Jacob,21162,1
2009,M,Ethan,19839,2
2009,M,Michael,18927,3
