Name,num_babies
Ty,29205
Bo,4737
Jo,1713
Pa,1096
Al,870
Om,659
An,517
Ka,512
Kc,491
La,459
Cy,435
Vy,375
My,342
De,299
Aj,281
Vi,272
Vu,242
Tj,241
Jc,235
Jr,222
Yu,179
Ha,144
Ma,137
Mc,130
Cj,128
Ed,113
Ky,100
Ab,95
Tu,84
Mi,76
Jd,66
Ly,57
Le,56
Franciscojavier,52
Li,50
Zi,43
Da,42
Bj,36
Md,36
Yi,35
Ai,34
Bb,31
Bg,30
Wm,28
Oz,25
Ia,23
Na,22
Ja,20
Ryanchristopher,17
Sy,17
Va,12
Si,11
El,10
Rj,10
Ge,10
Yo,8
Un,7
Lc,6
Lo,6
Jt,6
Ya,6
Wa,5
Dj,5
Johnchristopher,5
Mariadelosangel,5
Ku,5
No,5
Ho,5
Ji,5
Hy,5
Mj,5
Su,5
Ta,5
